,city_cn,city_en,city_id,country,placeNumber,position_x,position_y,url,visitedNumber
62,磅同,Kompong thom,7655,cambodia,1,12.700000,104.900002,//place.qyer.com/kompong-thom/,131
63,安隆汶,Anlong veng,7650,cambodia,2,14.233333,104.083336,//place.qyer.com/anlong-veng/,112
64,柴桢,Svay rieng,7659,cambodia,2,11.083333,105.800003,//place.qyer.com/svay-rieng/,73
65,拜林,Pailin,7653,cambodia,1,12.850556,102.609718,//place.qyer.com/pailin/,58
66,,Siem Reab,24603,cambodia,0,13.370000,103.860001,//place.qyer.com/siem-reab/,43
67,班龙,Banlung,24313,cambodia,2,13.706082,107.030319,//place.qyer.com/banlung/,18
68,曼谷,Bangkok,55,thailand,1500,13.741551,100.510368,//place.qyer.com/bangkok/,177082
69,清迈,Chiang Mai,54,thailand,1500,18.775663,98.923729,//place.qyer.com/chiang-mai/,93982
70,普吉岛,Phuket Island,8845,thailand,1500,7.984311,98.330750,//place.qyer.com/phuket-island/,91221
71,芭提雅,Pattaya,8804,thailand,1500,12.927500,100.875275,//place.qyer.com/pattaya/,55917
72,皮皮岛,Ko Phi-Phi,8844,thailand,206,7.746116,98.778412,//place.qyer.com/ko-phi-phi/,17468
73,拜县,Pai,8806,thailand,150,19.316668,98.449997,//place.qyer.com/pai/,15618
74,甲米,Krabi,8823,thailand,460,8.066667,98.916664,//place.qyer.com/krabi/,15454
75,苏梅岛,Ko Samui,8858,thailand,869,9.512017,100.013596,//place.qyer.com/ko-samui/,15087
76,清莱,Chiang rai,8849,thailand,215,19.900000,99.833336,//place.qyer.com/chiang-rai/,12857
77,大城,Ayutthaya,8814,thailand,295,14.350000,100.550003,//place.qyer.com/ayutthaya/,9859
78,华欣,Hua hin,8822,thailand,560,12.569348,99.961815,//place.qyer.com/hua-hin/,7718
79,涛岛,Ko Tao,8863,thailand,195,10.095610,99.840393,//place.qyer.com/ko-tao/,6062
80,泰国象岛,Ko Chang,8867,thailand,56,12.047916,102.323479,//place.qyer.com/ko-chang/,4144
81,素可泰,Sukhothai,8859,thailand,44,17.006390,99.823334,//place.qyer.com/sukhothai/,4093
82,素叻他尼,Surat thani,8860,thailand,5,9.133333,99.316666,//place.qyer.com/surat-thani/,3708
83,沙美岛,Ko Samet,10486,thailand,29,12.567094,101.453789,//place.qyer.com/ko-samet/,3682
84,斯米兰群岛,Similan Islands,10506,thailand,4,8.657863,97.646675,//place.qyer.com/similan-islands/,2929
85,合艾,Hat yai,8819,thailand,17,7.016667,100.466667,//place.qyer.com/hat-yai/,2217
86,兰达岛,Ko lanta,8826,thailand,21,7.550000,99.083336,//place.qyer.com/ko-lanta/,1992
87,春蓬,Chumphon,8811,thailand,5,10.493050,99.180023,//place.qyer.com/chumphon/,1766
88,夜功,Samut songkhram,8857,thailand,10,13.409822,100.002266,//place.qyer.com/samut-songkhram/,1551
89,清孔,Chiang khong,8848,thailand,4,20.283333,100.400002,//place.qyer.com/chiang-khong/,1502
90,泰国董里,Trang,8816,thailand,24,7.550000,99.599998,//place.qyer.com/trang/,1485
91,丽贝岛,Ko Lipe,10509,thailand,6,6.488572,99.304893,//place.qyer.com/ko-lipe/,1450
92,波普,Bophut ,13804,thailand,3,9.578246,99.998451,//place.qyer.com/bophut/,1413
93,帕岸岛,Ko Phangan,10485,thailand,27,9.731875,100.013596,//place.qyer.com/ko-phangan/,1348
94,卡塔,Kata,15208,thailand,0,7.824365,98.293274,//place.qyer.com/kata/,1240
95,北碧,Kanchanaburi,8808,thailand,28,14.019167,99.529724,//place.qyer.com/kanchanaburi/,1117
96,马叻,Maret,14323,thailand,1,9.472457,100.033279,//place.qyer.com/maret/,913
97,廊开,Nong khai,8828,thailand,11,17.876110,102.744446,//place.qyer.com/nong-khai/,758
98,夜丰颂,Mae hong son,8868,thailand,14,19.266666,97.933334,//place.qyer.com/mae-hong-son/,720
99,彭世洛,Phitsanulok,8842,thailand,4,16.833332,100.250000,//place.qyer.com/phitsanulok/,717
100,清盛,Chiang saen,8852,thailand,2,20.275000,100.088333,//place.qyer.com/chiang-saen/,582
101,湄赛,Mae sai,8834,thailand,4,20.433332,99.883331,//place.qyer.com/mae-sai/,566
102,蔻立,Khao Lak,10507,thailand,1,8.615424,98.244064,//place.qyer.com/khao-lak/,498
103,南邦,Lampang,8838,thailand,15,18.298332,99.507225,//place.qyer.com/lampang/,481
104,达叻,Trat,8813,thailand,8,12.233333,102.500000,//place.qyer.com/trat/,479
105,湄南,Mae Nam,14559,thailand,1,9.562564,99.974457,//place.qyer.com/mae-nam/,443
106,纳通,Nathon,13463,thailand,2,9.534414,99.937492,//place.qyer.com/nathon/,423
107,宋卡,Songkhla,9865,thailand,9,7.175600,100.614349,//place.qyer.com/songkhla/,413
108,华富里,Lopburi,8820,thailand,15,14.799508,100.653374,//place.qyer.com/lopburi/,362
109,孔敬,Khon kaen,8824,thailand,6,16.433332,102.833336,//place.qyer.com/khon-kaen/,359
110,乌隆,Udon thani,8865,thailand,3,17.407499,102.793053,//place.qyer.com/udon-thani/,343
111,查龙,Chalong ,13865,thailand,0,7.847697,98.337082,//place.qyer.com/chalong/,321
112,佛统,Nakhon pathom,8817,thailand,2,13.816667,100.050003,//place.qyer.com/nakhon-pathom/,317
113,七岩,Cha Am,14747,thailand,2,12.799487,99.966919,//place.qyer.com/cha-am/,294
114,呵叻,Nakhon ratchasima kh,8801,thailand,2,14.973849,102.083649,//place.qyer.com/nakhon-ratchasima-kh/,274
115,北榄,Samut prakan,8855,thailand,4,13.600000,100.599998,//place.qyer.com/samut-prakan/,253
116,曾蒙海滩,Choeng Mon Beach,13863,thailand,0,9.578626,100.083527,//place.qyer.com/choeng-mon-beach/,248
117,清道,Chiang dao,8846,thailand,3,19.422564,98.973083,//place.qyer.com/chiang-dao/,227
118,尖竹汶,Chanthaburi,8869,thailand,5,12.600000,102.150002,//place.qyer.com/chanthaburi/,214
119,沙敦,Satun,8853,thailand,1,6.616667,100.066666,//place.qyer.com/satun/,213
120,南奔,Lamphun,8839,thailand,1,18.581112,99.009171,//place.qyer.com/lamphun/,176
121,乌汶,Ubon ratchathani,8866,thailand,2,15.233056,104.863052,//place.qyer.com/ubon-ratchathani/,172
122,洛坤,Nakhon si thammarat,8837,thailand,2,8.433333,99.966667,//place.qyer.com/nakhon-si-thammarat/,153
123,甘烹碧,Kamphaeng phet,8818,thailand,17,16.466667,99.500000,//place.qyer.com/kamphaeng-phet/,143
124,巴蜀府,Prachuap khiri khan,8805,thailand,567,11.816667,99.800003,//place.qyer.com/prachuap-khiri-khan/,132
125,披迈,Phimai,8843,thailand,1,15.216667,102.500000,//place.qyer.com/phimai/,124
126,拉廊,Ranong,8825,thailand,4,9.966667,98.633331,//place.qyer.com/ranong/,115
127,暖武里,Nonthaburi,14656,thailand,0,13.862113,100.514351,//place.qyer.com/nonthaburi/,115
128,湄索,Mae sot,8835,thailand,1,16.716667,98.566666,//place.qyer.com/mae-sot/,114
129,是拉差,Si Racha,14905,thailand,1,13.164131,100.921661,//place.qyer.com/si-racha/,102
130,帕尧,Phayao,11256,thailand,4,19.166479,99.901939,//place.qyer.com/phayao/,100
131,达府,Tak,8812,thailand,3,16.866667,99.133331,//place.qyer.com/tak/,89
132,班佩,Ban Phe,13739,thailand,3,12.628316,101.440140,//place.qyer.com/ban-phe/,83
133,利巴诺伊,Lipa Noi,14437,thailand,1,9.502002,99.980042,//place.qyer.com/lipa-noi/,80
134,清刊,Chiang khan,8847,thailand,2,17.891336,101.652527,//place.qyer.com/chiang-khan/,79
135,沙功那空,Sakon nakhon,8854,thailand,2,17.166668,104.150002,//place.qyer.com/sakon-nakhon/,69
136,黎府,Loei,8830,thailand,2,17.483334,101.716667,//place.qyer.com/loei/,69
137,仲天海滩,Jomtien Beach,15190,thailand,0,12.878593,100.889809,//place.qyer.com/jomtien-beach/,65
138,龙仔厝,Samut sakhon,8856,thailand,1,13.533333,100.283333,//place.qyer.com/samut-sakhon/,60
139,奈岛,Ko Ngai,14627,thailand,0,7.415570,99.203751,//place.qyer.com/ko-ngai/,55
140,桑卡拉武里,Sangkhlaburi,11360,thailand,1,15.141160,98.449532,//place.qyer.com/sangkhlaburi/,53
141,北大年,Pattani,8809,thailand,1,6.888611,101.274170,//place.qyer.com/pattani/,52
142,迈萨良,Mae sariang,8833,thailand,0,18.157778,97.933609,//place.qyer.com/mae-sariang/,51
143,Don Sak,Don Sak,13391,thailand,0,9.213790,99.700974,//place.qyer.com/don-sak/,48
144,那空拍侬,Nakhon Phanom,11358,thailand,0,17.392038,104.769554,//place.qyer.com/nakhon-phanom/,42
145,芳县,Fang,11357,thailand,0,19.864391,99.180565,//place.qyer.com/fang/,41
146,杭东,Hang Dong,14093,thailand,0,18.686275,98.919334,//place.qyer.com/hang-dong/,39
